url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/11-000-zl-w-prezencie-dodatkowy-pokoj-ID45ddI.html#b0df9ea3d0,+ 11 000 zł W Prezencie. Dodatkowy Pokój !!!,"Skórzewo, poznański, wielkopolskie",5 pokoi,498 000 zł,"115,80 m²",działka 385 m²
https://www.otodom.pl/oferta/duze-dzialki-420-metry-ID45TI1.html#b0df9ea3d0,Duże Działki - 420 metry !!!,"Skórzewo, poznański, wielkopolskie",4 pokoje,497 000 zł,"108,90 m²",działka 420 m²
https://www.otodom.pl/oferta/spokojna-okolica-duze-domy-i-dzialki-ID45X56.html#b0df9ea3d0,Spokojna Okolica - Duże Domy I Działki,"Skórzewo, poznański, wielkopolskie",4 pokoje,497 000 zł,"108,90 m²",działka 423 m²
https://www.otodom.pl/oferta/spokojna-okolica-blisko-szkola-ID46Adj.html#b0df9ea3d0,"Spokojna Okolica, Blisko Szkoła","Skórzewo, poznański, wielkopolskie",4 pokoje,497 000 zł,"108,90 m²",działka 417 m²
https://www.otodom.pl/oferta/bonus-11-000-zl-dom-parterowy-80-m2-ID44ymE.html#b0df9ea3d0,Bonus +11 000 zł. Dom Parterowy - 80 m2,"Dąbrowa, poznański, wielkopolskie",3 pokoje,449 000 zł,80 m²,działka 260 m²
https://www.otodom.pl/oferta/bezposrednio-od-dewelopera-promocja-na-lato-ID46H2w.html#b0df9ea3d0,Bezpośrednio Od Dewelopera !!! Promocja Na Lato !!,"Luboń, poznański, wielkopolskie",3 pokoje,365 000 zł,"63,48 m²",działka 320 m²
https://www.otodom.pl/oferta/bezposrednio-od-dewelopera-promocja-na-lato-ID46H2v.html#b0df9ea3d0,Bezpośrednio Od Dewelopera !!! Promocja Na Lato !,"Luboń, poznański, wielkopolskie",3 pokoje,378 000 zł,"66,40 m²",działka 320 m²
https://www.otodom.pl/oferta/mieszkania-z-ogrodkiem-w-centrum-ID46j5l.html#b0df9ea3d0,Mieszkania Z Ogródkiem W Centrum !!!,"Luboń, poznański, wielkopolskie",4 pokoje,349 000 zł,"65,02 m²",działka 325 m²
https://www.otodom.pl/oferta/mieszkania-z-ogrodkiem-w-centrum-ID46sgP.html#b0df9ea3d0,Mieszkania Z Ogródkiem W Centrum !!!,"Luboń, poznański, wielkopolskie",4 pokoje,349 000 zł,"70,50 m²",działka 325 m²
https://www.otodom.pl/oferta/korzysc-11-000-zl-wiry-dzialka-400-m2-ID419FN.html#b0df9ea3d0,"Korzyść +11 000 zł - Wiry, działka 400 m2","Luboń, poznański, wielkopolskie",4 pokoje,458 900 zł,96 m²,działka 400 m²
https://www.otodom.pl/oferta/korzysc-10-000-zl-atrakcyjna-cena-w-komornikach-ID41Bfx.html#b0df9ea3d0,Korzyść +10 000 zł. Atrakcyjna Cena w Komornikach,"Luboń, poznański, wielkopolskie",4 pokoje,429 000 zł,85 m²,działka 300 m²
https://www.otodom.pl/oferta/bonus-10-000-zl-gotowy-do-odbioru-od-zaraz-wiry-ID42q71.html#b0df9ea3d0,Bonus +10 000 zł.Gotowy Do Odbioru Od Zaraz - Wiry,"Luboń, poznański, wielkopolskie",4 pokoje,438 700 zł,96 m²,działka 333 m²
https://www.otodom.pl/oferta/centrum-spokojna-okolica-ostatni-wolny-ID46h8Q.html#b0df9ea3d0,Centrum - Spokojna Okolica. Ostatni Wolny !!!,"Luboń, poznański, wielkopolskie",5 pokoi,469 000 zł,"104,27 m²",działka 315 m²
https://www.otodom.pl/oferta/blizniak-w-stanie-deweloperskim-polnoc-ID46Jl8.html#b0df9ea3d0,Bliźniak W Stanie Deweloperskim Północ,"Częstochowa, Północ",5 pokoi,520 000 zł,165 m²,działka 354 m²
https://www.otodom.pl/oferta/prestige-baltica-dom-pod-klucz-ID42I0N.html#b0df9ea3d0,Prestige BALTICA. Dom pod klucz,"Dziwnówek, kamieński, zachodniopomorskie",4 pokoje,798 000 zł,100 m²,działka 700 m²
https://www.otodom.pl/oferta/sprzedam-blizniak-100m2-jozefow-gotowe-sprzedaz-ID43zzl.html#b0df9ea3d0,Sprzedam bliźniak 100m2 Józefów Gotowe Sprzedaż,"Józefów, otwocki, mazowieckie",4 pokoje,655 000 zł,100 m²,działka 200 m²
https://www.otodom.pl/oferta/piekny-dom-o-wysokim-standardzie-okazja-ID43zrT.html#b0df9ea3d0,Piękny Dom o Wysokim Standardzie Okazja !!!,"Oleśnica, oleśnicki, dolnośląskie",5 pokoi,870 000 zł,180 m²,działka 1 100 m²
https://www.otodom.pl/oferta/nowa-inwestycja-w-wieckowicach-10km-od-krakowa-ID46JkW.html#b0df9ea3d0,Nowa inwestycja w Więckowicach! 10km od Krakowa,"Zabierzów, krakowski, małopolskie",4 pokoje,520 000 zł,"103,67 m²",działka 300 m²
https://www.otodom.pl/oferta/piekny-nowoczesny-dom-tarnowo-podgorne-ogrod-taras-ID46JkR.html#b0df9ea3d0,Piękny nowoczesny dom Tarnowo Podgórne ogród taras,"Poznań, wielkopolskie",6 pokoi,599 000 zł,155 m²,działka 400 m²
https://www.otodom.pl/oferta/piekna-nowa-kamienica-z-garazem-podziemnym-ID46Jkf.html#b0df9ea3d0,Piękna nowa kamienica z garażem podziemnym !,"Kraków, Prądnik Czerwony",>10 pokoi,6 899 000 zł,795 m²,działka 400 m²
https://www.otodom.pl/oferta/segmenty-bobrowiec-3200zl-m2-bezposrednio-ID42THp.html#b0df9ea3d0,"SEGMENTY Bobrowiec , 3200zł/m2 - BEZPOŚREDNIO","Bobrowiec, piaseczyński, mazowieckie",5 pokoi,560 000 zł,175 m²,działka 178 m²
https://www.otodom.pl/oferta/nowoczesny-blizniak-z-duza-dzialka-gdynia-kosakowo-ID46576.html#b0df9ea3d0,Nowoczesny bliźniak z dużą działką/Gdynia kosakowo,"Kosakowo, pucki, pomorskie",4 pokoje,630 000 zł,140 m²,działka 500 m²
https://www.otodom.pl/oferta/dom-wolnostojacy-szabda-brodnica-ID46JiY.html#b0df9ea3d0,Dom wolnostojący Szabda /Brodnica,"Szabda, brodnicki, kujawsko-pomorskie",5 pokoi,420 000 zł,150 m²,działka 500 m²
