url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/jednopietrowy-dom-z-3-sypialniami-w-miejsc-ruja-ID46Jmg.html#2536bcf1f3,Jednopiętrowy dom z 3 sypialniami w miejsc. Ruja,"Ruja, legnicki, dolnośląskie",3 pokoje,80 000 zł,3 000 m²,działka 3 000 m²
https://www.otodom.pl/oferta/dom-czestochowa-ID44koR.html#2536bcf1f3,Dom Częstochowa,"Częstochowa, Dźbów",3 pokoje,289 000 zł,150 m²,działka 600 m²
https://www.otodom.pl/oferta/wolnostojacy-dom-w-zlotnikach-5km-od-poznania-ID46Jm1.html#2536bcf1f3,Wolnostojący dom w Złotnikach 5km od Poznania,"Złotniki, poznański, wielkopolskie",5 pokoi,529 000 zł,104 m²,działka 584 m²
https://www.otodom.pl/oferta/sprzedam-rezydencja-z-basenem-pod-lasem-ID45SBn.html#2536bcf1f3,SPRZEDAM!!! Rezydencja z basenem pod lasem.,"Krościenko Wyżne, krośnieński, podkarpackie",6 pokoi,3 190 000 zł,420 m²,działka 3 000 m²
https://www.otodom.pl/oferta/wroclaw-muchobor-wielki-dzialka-z-zabudowa-ID44pmQ.html#2536bcf1f3,"Wrocław Muchobór Wielki, działka z zabudową","Wrocław, Fabryczna, Muchobór Wielki",3 pokoje,750 000 zł,60 m²,działka 768 m²
https://www.otodom.pl/oferta/dom-jednorodzinny-ID46uRl.html#2536bcf1f3,Dom jednorodzinny,"Dusznica, sejneński, podlaskie",9 pokoi,650 000 zł,194 m²,działka 6 500 m²
https://www.otodom.pl/oferta/dom-90-m-gowarzewo-ID44Xa8.html#2536bcf1f3,"Dom, 90 m², Gowarzewo","Gowarzewo, poznański, wielkopolskie",4 pokoje,230 000 zł,90 m²,działka 700 m²
https://www.otodom.pl/oferta/luksusowy-dom-warszawa-okolice-mazow-k-siedlec-ID33E9c.html#2536bcf1f3,Luksusowy Dom Warszawa Okolice (mazow. k/Siedlec),"Siedlce, mazowieckie",>10 pokoi,2 145 000 zł,714 m²,działka 3 600 m²
https://www.otodom.pl/oferta/dom-na-sprzedaz-warszawa-targowek-ID46JlO.html#2536bcf1f3,"Dom na sprzedaż, Warszawa, Targówek","Warszawa, Targówek",>10 pokoi,1 690 000 zł,340 m²,działka 340 m²
https://www.otodom.pl/oferta/zabudowa-blizniacza-wolny-lewy-segment-ID45e84.html#2536bcf1f3,Zabudowa bliźniacza. Wolny lewy segment!,"Wrocław, dolnośląskie",4 pokoje,685 000 zł,"122,16 m²",działka 617 m²
https://www.otodom.pl/oferta/dom-w-centrum-grodziska-mazowieckiego-bezposrednio-ID42lPF.html#825de0851f,Dom w centrum Grodziska Mazowieckiego Bezpośrednio,"Grodzisk Mazowiecki, grodziski, mazowieckie",4 pokoje,795 000 zł,134 m²,działka 176 m²
https://www.otodom.pl/oferta/kamienica-z-duza-dzialka-na-inwestycje-ID46yXW.html#825de0851f,Kamienica z dużą działką na inwestycje !,"Łódź, Bałuty",6 pokoi,350 000 zł,120 m²,działka 890 m²
https://www.otodom.pl/oferta/holubla-dzialka-1518-m2-z-domem-i-budynkami-ID46JlH.html#825de0851f,"Hołubla, działka 1518 m2 z domem i budynkami.","Hołubla, siedlecki, mazowieckie",3 pokoje,82 000 zł,1 518 m²,działka 1 518 m²
https://www.otodom.pl/oferta/sprzedam-dom-w-borach-tucholskich-iwiec-ID35Xgs.html#825de0851f,Sprzedam dom w Borach Tucholskich (Iwiec),"Iwiec, tucholski, kujawsko-pomorskie",3 pokoje,145 000 zł,100 m²,działka 1 200 m²
https://www.otodom.pl/oferta/widokowa-cicha-zielona-okolica-na-wzgorzu-ID46Jlt.html#825de0851f,"Widokowa, Cicha, Zielona Okolica! NA WZGÓRZU!","Nakło Śląskie, tarnogórski, śląskie",5 pokoi,515 000 zł,162 m²,działka 1 377 m²
https://www.otodom.pl/oferta/domek-na-dzialce-rod-bugaj-okolice-jeziora-i-lasu-ID46Jlp.html#825de0851f,"Domek na działce ROD Bugaj, okolice jeziora i lasu","Bugaj, poznański, wielkopolskie",3 pokoje,99 000 zł,45 m²,działka 388 m²
https://www.otodom.pl/oferta/zabierzow-dom-do-zamieszkania-lokalizacja-ID46Jlo.html#825de0851f,"Zabierzów-Dom do zamieszkania, lokalizacja+++","Zabierzów, krakowski, małopolskie",5 pokoi,695 000 zł,130 m²,działka 215 m²
https://www.otodom.pl/oferta/dom-131-65-m-opole-ID46Jll.html#825de0851f,"Dom, 131,65 m², Opole","Opole, Grudzice",5 pokoi,499 000 zł,"131,65 m²",działka 350 m²
https://www.otodom.pl/oferta/dom-w-walimiu-ID46Jlj.html#825de0851f,Dom w Walimiu,"Walim, wałbrzyski, dolnośląskie",9 pokoi,225 000 zł,300 m²,działka 1 500 m²
https://www.otodom.pl/oferta/komfortowy-dom-wolnostojacy-160m2-kawdodrza-ID46Jlc.html#825de0851f,Komfortowy dom wolnostojący 160m2 Kawdodrza,"Częstochowa, Kiedrzyn",5 pokoi,699 000 zł,160 m²,działka 610 m²
https://www.otodom.pl/oferta/dom-140m2-kawodrza-dzialka1450m2-320tys-ID46Jlb.html#825de0851f,"Dom 140m2 Kawodrza,działka:1450m2-320tys","Częstochowa, Kawodrza Dolna",5 pokoi,320 000 zł,140 m²,działka 1 450 m²
https://www.otodom.pl/oferta/dom-na-sprzedaz-warszawa-targowek-zacisze-ID46Jla.html#825de0851f,"Dom na sprzedaż, Warszawa, Targówek, Zacisze","Warszawa, mazowieckie",10 pokoi,2 560 000 zł,350 m²,działka 450 m²
https://www.otodom.pl/oferta/dom-166-m-czestochowa-ID46Jl9.html#825de0851f,"Dom, 166 m², Częstochowa","Częstochowa, Północ",5 pokoi,540 000 zł,166 m²,działka 550 m²
https://www.otodom.pl/oferta/dom-z-pieknym-ogrodem-przy-spokojnej-ulicy-ID46Jl3.html#825de0851f,Dom z pięknym ogrodem przy spokojnej ulicy,"Poznań, Jeżyce, Wola",7 pokoi,860 000 zł,230 m²,
